"","user.self","sys.self","elapsed","user.child","sys.child","Model"
"efs.time9",15.773,0.164,26.109,0,0,"EFS"
"rfe.time9",0.320999999999998,0.00599999999999978,0.918000000000006,0,0,"RFE"
"vita.time9",1.176,0.0829999999999997,2.16499999999996,0,0,"Vita"
"perm.time9",0.253,0.00299999999999967,0.425999999999988,0,0,"Perm"
"binom.rf.time10",0.236000000000004,0.00300000000000011,0.57099999999997,0,0,"BinomialRF"
"boruta.time10",9.28699999999999,0.327,4.76799999999997,0,0,"Boruta"
"vsurf.time10",3.23400000000001,0.18,71.536,0.00999999999999801,0.012,"VSURF"
"varselrf.time10",5.959,0.0180000000000002,10.038,0,0,"VarSelRF"
"pimp.time10",0.0250000000000057,0.0209999999999999,20.101,16.288,0.475,"PIMP"
"aucrf.time10",0.870000000000005,0.0329999999999999,1.20999999999998,0,0,"AUCRF"
"efs.time10",14.877,0.155,23.189,0,0,"EFS"
"rfe.time10",0.315999999999988,0.00599999999999978,0.66500000000002,0,0,"RFE"
"vita.time10",1.15400000000001,0.0790000000000002,2.73199999999997,0,0,"Vita"
"perm.time10",0.247,0.00399999999999956,0.555999999999983,0,0,"Perm"
"binom.rf.time11",0.240000000000009,0.00300000000000011,0.591000000000008,0,0,"BinomialRF"
"boruta.time11",9.747,0.309,3.78399999999999,0,0,"Boruta"
"vsurf.time11",7.381,0.386,59.766,0.00999999999999801,0.0119999999999999,"VSURF"
"varselrf.time11",6.19,0.0190000000000001,17.552,0,0,"VarSelRF"
"pimp.time11",0.0240000000000009,0.0259999999999998,10.096,17.146,0.398,"PIMP"
"aucrf.time11",0.936999999999983,0.0300000000000002,2.58499999999998,0,0,"AUCRF"
"efs.time11",16.268,0.155,36.856,0,0,"EFS"
"rfe.time11",0.332999999999998,0.00499999999999989,0.430000000000064,0,0,"RFE"
"vita.time11",1.197,0.0919999999999996,2.94899999999996,0,0,"Vita"
"perm.time11",0.257999999999981,0.00299999999999923,0.650000000000034,0,0,"Perm"
"binom.rf.time12",0.221000000000004,0.00100000000000033,0.420000000000016,0,0,"BinomialRF"
"boruta.time12",10.556,0.238,7.47800000000007,0,0,"Boruta"
"vsurf.time12",11.897,0.768,83.1250000000001,0.00999999999999801,0.0109999999999999,"VSURF"
"varselrf.time12",5.83199999999999,0.0169999999999995,9.23800000000006,0,0,"VarSelRF"
"pimp.time12",0.0240000000000009,0.0189999999999997,14.587,16.309,0.411,"PIMP"
"aucrf.time12",0.853000000000009,0.0270000000000001,1.447,0,0,"AUCRF"
"efs.time12",14.519,0.149,23.976,0,0,"EFS"
"rfe.time12",0.304000000000002,0.00499999999999989,0.591999999999985,0,0,"RFE"
"vita.time12",1.131,0.0730000000000004,2.03599999999994,0,0,"Vita"
"perm.time12",0.244,0.00199999999999978,0.413000000000011,0,0,"Perm"
"binom.rf.time13",0.236999999999995,0.00200000000000022,0.646999999999991,0,0,"BinomialRF"
"boruta.time13",9.55000000000001,0.334,4.0150000000001,0,0,"Boruta"
"vsurf.time13",9.509,0.484,68.9299999999999,0.00999999999999801,0.012,"VSURF"
"varselrf.time13",6.286,0.0189999999999997,12.105,0,0,"VarSelRF"
"pimp.time13",0.0249999999999773,0.0209999999999999,19.564,18.269,1.375,"PIMP"
"aucrf.time13",0.926000000000016,0.0289999999999999,1.57100000000003,0,0,"AUCRF"
"efs.time13",16.325,0.149,27.011,0,0,"EFS"
"rfe.time13",0.335999999999984,0.00499999999999989,0.649000000000001,0,0,"RFE"
"vita.time13",1.327,0.0909999999999997,4.702,0,0,"Vita"
"perm.time13",0.262,0.00300000000000011,0.440000000000055,0,0,"Perm"
"binom.rf.time14",0.230000000000004,0.00199999999999978,0.51600000000002,0,0,"BinomialRF"
"boruta.time14",11.056,0.232,7.49099999999999,0,0,"Boruta"
"vsurf.time14",5.721,0.322,74.225,0.00999999999999801,0.012,"VSURF"
"varselrf.time14",6.09,0.02,9.54600000000005,0,0,"VarSelRF"
"pimp.time14",0.0250000000000057,0.0219999999999998,15.2569999999999,17.04,0.398,"PIMP"
"aucrf.time14",0.893000000000001,0.0269999999999997,1.51700000000005,0,0,"AUCRF"
"efs.time14",15.654,0.151,26.4059999999999,0,0,"EFS"
"rfe.time14",0.318999999999988,0.00700000000000056,0.586000000000013,0,0,"RFE"
"vita.time14",1.173,0.0830000000000002,2.15999999999997,0,0,"Vita"
"perm.time14",0.254999999999995,0.00300000000000011,0.425000000000068,0,0,"Perm"
"binom.rf.time15",0.231999999999999,0.00199999999999978,0.356999999999971,0,0,"BinomialRF"
"boruta.time15",10.091,0.303,3.96900000000005,0,0,"Boruta"
"vsurf.time15",4.84899999999999,0.247,64.415,0.0109999999999957,0.0129999999999999,"VSURF"
