"","user.self","sys.self","elapsed","user.child","sys.child","Model"
"binom.rf.time29",1.05999999999995,0.00200000000000244,1.64300000000003,0,0,"BinomialRF"
"boruta.time29",66.2940000000003,0.460999999999999,41.8040000000001,0,0,"Boruta"
"vsurf.time29",20.2799999999997,0.927,524.786,0.00999999999999091,0.0120000000000005,"VSURF"
"varselrf.time29",48.7039999999997,0.0980000000000061,83.1100000000006,0,0,"VarSelRF"
"pimp.time29",0.446999999999662,0.0699999999999932,147.965,175.074,1.229,"PIMP"
"aucrf.time29",11.556,0.122999999999998,31.2930000000015,0,0,"AUCRF"
"efs.time29",272.709,4.645,361.137999999999,0,0,"EFS"
"rfe.time29",4.20999999999958,0.0120000000000005,4.41299999999865,0,0,"RFE"
"vita.time29",15.9249999999997,0.350999999999999,46.7669999999998,0,0,"Vita"
"perm.time29",3.36400000000003,0.00999999999999801,9.34600000000137,0,0,"Perm"
"binom.rf.time30",1.06899999999996,0.00300000000000011,2.21399999999994,0,0,"BinomialRF"
"boruta.time30",66.73,0.491999999999997,40.5859999999993,0,0,"Boruta"
"vsurf.time30",51.3409999999999,2.178,635.273999999999,0.00999999999999091,0.0129999999999999,"VSURF"
"varselrf.time30",48.1219999999998,0.0799999999999983,50.8050000000003,0,0,"VarSelRF"
"pimp.time30",0.409000000000106,0.0630000000000024,110.239000000001,175.401,1.256,"PIMP"
"aucrf.time30",11.5969999999998,0.125,12.5450000000001,0,0,"AUCRF"
"efs.time30",278.677,4.715,401.796999999999,0,0,"EFS"
"rfe.time30",4.22600000000011,0.012999999999991,8.84699999999975,0,0,"RFE"
"vita.time30",15.7379999999998,0.352999999999994,16.8829999999998,0,0,"Vita"
"perm.time30",3.28800000000001,0.00999999999999801,3.48899999999958,0,0,"Perm"
"binom.rf.time31",1.05999999999995,0.00300000000000011,2.26400000000103,0,0,"BinomialRF"
"boruta.time31",65.739,0.455000000000005,33.4609999999993,0,0,"Boruta"
"vsurf.time31",34.029,1.79799999999999,609.575000000001,0.00999999999999091,0.0120000000000005,"VSURF"
"varselrf.time31",47.8969999999999,0.0739999999999981,50.6440000000002,0,0,"VarSelRF"
"pimp.time31",0.449000000000069,0.0649999999999977,121.4,175.848,1.377,"PIMP"
"aucrf.time31",11.529,0.121000000000009,12.2139999999999,0,0,"AUCRF"
"efs.time31",277.051,5.63,390.411999999998,0,0,"EFS"
"rfe.time31",4.21199999999999,0.0130000000000052,8.75799999999981,0,0,"RFE"
"vita.time31",15.877,0.333999999999996,23.6660000000011,0,0,"Vita"
"perm.time31",3.32299999999987,0.00900000000000034,3.70100000000093,0,0,"Perm"
"binom.rf.time32",1.03900000000021,0.00300000000000011,1.09499999999935,0,0,"BinomialRF"
